event_index|date|time|seconds_elapsed|game_id|event|event_description|period|event_p1|event_p1_name|event_p2|event_p2_name|event_p3|event_p3_name|event_team|x_coord|y_coord|away_goalie|away_goalie_name|home_goalie|home_goalie_name|away_score|home_score|home_team_id|home_team|away_team_id|away_team
2|2018-02-04|0:00|0|18507444|Faceoff|Faceoff Won |1|19100744.0|Dana Trivigno|22110246|Hanna Beattie|0.0||2840761.0|49.77|50.0|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
3|2018-02-04|1:55|115|18507444|Faceoff|Faceoff Won |1|18800629.0|Juana Baribeau|18800533|Jillian Dempsey|0.0||2840763.0|49.97|50.81|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
5|2018-02-02|1:55|115|18507444|Goal|Goal (even strength)  |1|18844871.0|Sydney Daniels|18800545|Alyssa Gagliardi|18800533.0|Jillian Dempsey|2840761.0|0.0|0.0|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
4|2018-02-04|2:10|130|18507444|BlockedShot|Blocked Shot |1|18800567.0|Cydney Roesler|0||0.0||2840763.0|89.1|56.85|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
5|2018-02-04|2:17|137|18507444|Turnover|Turnover |1|20460066.0|Corey Stearns|0||0.0||2840761.0|37.72|43.95|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
6|2018-02-04|2:27|147|18507444|Faceoff|Faceoff Won |1|19100744.0|Dana Trivigno|22110246|Hanna Beattie|0.0||2840761.0|61.83|72.98|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
7|2018-02-04|3:22|202|18507444|Shot|Shot |1|19583893.0|Stephanie Mock|0||0.0||2840763.0|20.72|71.37|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
8|2018-02-04|3:25|205|18507444|Faceoff|Faceoff Won |1|21022025.0|Jamie Goldsmith|18800533|Jillian Dempsey|0.0||2840763.0|16.77|72.98|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
9|2018-02-04|3:30|210|18507444|BlockedShot|Blocked Shot |1|18800545.0|Alyssa Gagliardi|0||0.0||2840761.0|19.93|58.87|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
10|2018-02-04|3:42|222|18507444|Shot|Shot |1|18800540.0|Emily Field|0||0.0||2840761.0|79.81|26.61|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
11|2018-02-04|4:53|293|18507444|Faceoff|Faceoff Won |1|22110246.0|Hanna Beattie|20460066|Corey Stearns|0.0||2840763.0|37.72|72.98|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
12|2018-02-04|5:15|315|18507444|Shot|Shot |1|20038222.0|Emily Fluke|0||0.0||2840763.0|16.37|73.79|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
13|2018-02-04|5:16|316|18507444|Faceoff|Faceoff Won |1|21022025.0|Jamie Goldsmith|18800533|Jillian Dempsey|0.0||2840763.0|16.37|73.39|18801447|Sydney Rossman|18800566|Brittany Ott|0|0|1576027|Boston Pride|1576030|Connecticut Whale
