|active_status|content_node_id|created_on|first_name|id|image_id|inactive_info|info|jersey_number|last_name|list_position|position|roster_id|roster_type|status|thumbnail|title|updated_on|url|full_name
21|True|32939535|2017-09-05T11:08:26-07:00|Heather |20575447|91298331.0|{}||37|Schwarz|4|F|2789543|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9129/8331/Pride_Heather_Schwarz_002_small.jpg||2018-03-19T07:13:45-07:00|https://www.nwhl.zone/roster_players/20575447|Heather Schwarz
22|True|33011016|2017-09-07T06:26:12-07:00|Elizabeth |20629799|91295752.0|{}||6|Parker|4|D|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9129/5752/Pride_Elizabeth_Parker_004_small.jpg||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/20629799|Elizabeth Parker
23|True|33386770|2017-09-20T10:43:55-07:00|Thomas |20914542|91298567.0|{}|||Poeck|1||2789543|coach|active|https://cdn3.sportngin.com/attachments/roster_player_info/9129/8567/Pride_Thomas_Poeck_001_small.jpg|Head Coach |2017-10-12T11:30:26-07:00|https://www.nwhl.zone/roster_players/20914542|Thomas Poeck
24|True|33386947|2017-09-20T10:46:41-07:00|Lindsay |20914705|91298610.0|{}|||Berman|1||2789543|coach|active|https://cdn2.sportngin.com/attachments/roster_player_info/9129/8610/Pride_Lindsay_Berman_001_small.jpg|Assistant Coach |2017-10-12T11:28:17-07:00|https://www.nwhl.zone/roster_players/20914705|Lindsay Berman
25|True|33888513|2017-10-12T07:07:54-07:00|Steve |21261141||{}|||Silverthorn|1||2789543|coach|active|/app_images/no_photo_neutral_30.svg|Goalie Coach|2017-10-12T11:27:28-07:00|https://www.nwhl.zone/roster_players/21261141|Steve Silverthorn
26|True|23387294|2017-10-18T08:52:30-07:00|Haley|21354216||{}||22|Skarupa|4|F|2789543|player|active|/app_images/no_photo_neutral_30.svg||2018-03-11T12:18:04-07:00|https://www.nwhl.zone/roster_players/21354216|HaleySkarupa
27|True|35071985|2017-11-30T09:03:48-08:00|Kaleigh|22095684|95214321.0|{}||13|Fratkin|2|"F|D"|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9521/4321/unnamed-2_small.jpg||2018-03-19T07:13:44-07:00|https://www.nwhl.zone/roster_players/22095684|KaleighFratkin
28|True|36811606|2018-02-27T06:15:57-08:00|Mallory|23226888|99682901.0|{}||47|Souliotis|2|D|2789543|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9968/2901/Pride_Mallory_Souliotis_001_small.jpg||2018-03-11T12:18:05-07:00|https://www.nwhl.zone/roster_players/23226888|MallorySouliotis
29|True|23387281|2017-06-05T10:49:21-07:00|Kelly|18800502|91583632.0|{}||8|Babstock|1|F|2789545|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9158/3632/Whale_Kelly_Babstock_small.JPG||2018-03-18T17:53:56-07:00|https://www.nwhl.zone/roster_players/18800502|KellyBabstock
30|True|23387283|2017-06-05T10:49:31-07:00|Jordan|18800526|91584193.0|{}||26|Brickner|1|D|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9158/4193/Whale_Jordan_Brickner_small.JPG||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/18800526|JordanBrickner
31|True|23387286|2017-06-05T10:49:42-07:00|Sam|18800541|91584538.0|{}||28|Faber|1|F|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9158/4538/Whale_Sam_Faber_small.JPG||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/18800541|SamFaber
32|True|23387287|2017-06-05T10:49:44-07:00|Kaliya|18800544|84543947.0|{}||10|Johnson|1|D|2789545|player|disabled|https://cdn3.sportngin.com/attachments/roster_player_info/8454/3947/Johnson_small.jpeg||2017-06-05T11:07:20-07:00|https://www.nwhl.zone/roster_players/18800544|KaliyaJohnson
33|True|23387292|2017-06-05T10:49:57-07:00|Meagan|18800563|84544114.0|{}||57|Mangene|1|D|2789545|player|disabled|https://cdn1.sportngin.com/attachments/roster_player_info/8454/4114/Mangene_small.jpeg||2017-06-19T15:24:52-07:00|https://www.nwhl.zone/roster_players/18800563|MeaganMangene
34|True|23387293|2017-06-05T10:50:01-07:00|Cydney|18800567|91584072.0|{}||21|Roesler|1|D|2789545|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9158/4072/Whale_Sydney_Roesler_small.JPG||2018-03-19T07:13:42-07:00|https://www.nwhl.zone/roster_players/18800567|CydneyRoesler
35|True|23387294|2017-06-05T10:50:01-07:00|Haley|18800568||{}||22|Skarupa|1|F|2789545|player|disabled|/app_images/no_photo_neutral_30.svg||2017-10-18T08:52:31-07:00|https://www.nwhl.zone/roster_players/18800568|HaleySkarupa
36|True|23387297|2017-06-05T10:50:12-07:00|Dana|18800581|84544334.0|{}||17|Trivigno|1|F|2789545|player|disabled|https://cdn4.sportngin.com/attachments/roster_player_info/8454/4334/Trivigno_small.jpeg||2017-06-19T15:25:40-07:00|https://www.nwhl.zone/roster_players/18800581|DanaTrivigno
37|True|23793897|2017-06-05T10:50:17-07:00|Elena|18800586|91584031.0|{}||14|Orlando|1|D|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9158/4031/Whale_Elena_Orlando_small.JPG||2018-03-19T07:13:42-07:00|https://www.nwhl.zone/roster_players/18800586|ElenaOrlando
38|True|23794052|2017-06-05T10:50:20-07:00|Laura|18800590|91584585.0|{}||33|Brennan|1|G|2789545|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9158/4585/Whale_Laura_Brennan_small.JPG||2018-03-19T07:17:56-07:00|https://www.nwhl.zone/roster_players/18800590|LauraBrennan
39|True|23794156|2017-06-05T10:50:23-07:00|Shannon|18800597|91583549.0|{}||6|Doyle|1|D|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9158/3549/Whale_Shannan_Doyle_small.JPG||2018-03-19T07:13:41-07:00|https://www.nwhl.zone/roster_players/18800597|ShannonDoyle
40|True|23794337|2017-06-05T10:50:30-07:00|Anya|18800608|91583391.0|{}||4|Battaglino |1|"F|D"|2789545|player|active|https://cdn4.sportngin.com/attachments/roster_player_info/9158/3391/Whale_Anya_Battaglino_small.JPG||2018-03-19T07:13:41-07:00|https://www.nwhl.zone/roster_players/18800608|AnyaBattaglino 
41|True|24457644|2017-06-05T10:50:36-07:00|Juana|18800629|91584275.0|{}||25|Baribeau|3|F|2789545|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9158/4275/Whale_Juana_Baribeau_small.JPG||2018-03-19T07:13:42-07:00|https://www.nwhl.zone/roster_players/18800629|JuanaBaribeau
42|True|26381663|2017-06-05T10:50:39-07:00|Meghan |18800634|84544667.0|{}||43| Huertas|3|F|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/8454/4667/Huertas_small.jpeg||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/18800634|Meghan  Huertas
43|True|30552389|2017-06-05T11:18:00-07:00|Sydney|18801447|91584609.0|{}||34|Rossman|3|G|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9158/4609/Whale_Sydney_Rossman_small.JPG||2018-07-31T10:00:38-07:00|https://www.nwhl.zone/roster_players/18801447|SydneyRossman
44|True|31607566|2017-07-19T08:15:26-07:00|Rachael|19571957|91583577.0|{}||7|Ade|3|D|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9158/3577/Whale_Rachael_Ade_small.JPG||2018-07-30T09:25:50-07:00|https://www.nwhl.zone/roster_players/19571957|RachaelAde
45|True|31627477|2017-07-20T07:39:48-07:00|Stephanie |19583893|91583503.0|{}||5|Mock|3|F|2789545|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9158/3503/Whale_Stephanie_Mock_small.JPG||2018-03-19T07:13:41-07:00|https://www.nwhl.zone/roster_players/19583893|Stephanie Mock
46|True|32239848|2017-08-15T09:05:10-07:00|Emily|20038222|91583945.0|{}||11|Fluke|3|F|2789545|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9158/3945/Whale_Emily_Fluke_small.JPG||2018-07-30T09:26:39-07:00|https://www.nwhl.zone/roster_players/20038222|EmilyFluke
47|True|32533874|2017-08-24T08:29:51-07:00|Cassie|20258199|91584008.0|{}||13|Dunne|3|D|2789545|player|active|https://cdn4.sportngin.com/attachments/roster_player_info/9158/4008/Whale_Cassie_Dunne_small.JPG||2018-03-19T07:13:42-07:00|https://www.nwhl.zone/roster_players/20258199|CassieDunne
48|True|32790398|2017-08-31T09:19:27-07:00|Amanda|20460156|91583349.0|{}||3|Boulier|3|"D|F"|2789545|player|active|https://cdn4.sportngin.com/attachments/roster_player_info/9158/3349/Whale_Amanda_Boulier_small.JPG||2018-03-19T07:13:41-07:00|https://www.nwhl.zone/roster_players/20460156|AmandaBoulier
49|True|32790473|2017-08-31T09:20:56-07:00|Kaycie|20460180|91583705.0|{}||9|Anderson|3|F|2789545|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9158/3705/Whale_Kaycie_Anderson_small.JPG||2018-03-19T07:13:42-07:00|https://www.nwhl.zone/roster_players/20460180|KaycieAnderson
50|True|33174782|2017-09-12T11:07:22-07:00|Sophia |20754193|91583920.0|{}||10|Agostinelli|3|F|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9158/3920/Whale_Sophia_Agostinelli_small.JPG||2018-03-19T07:13:42-07:00|https://www.nwhl.zone/roster_players/20754193|Sophia Agostinelli
51|True|33387017|2017-09-20T10:48:44-07:00|Ryan|20914739|91584703.0|{}|||Equale|1||2789545|coach|active|https://cdn1.sportngin.com/attachments/roster_player_info/9158/4703/Whale_Ryan_Equale_small.jpg|Head Coach|2017-10-16T06:57:44-07:00|https://www.nwhl.zone/roster_players/20914739|RyanEquale
52|True|33541974|2017-09-27T07:38:28-07:00|Jamie|21022025|91583971.0|{}||12|Goldsmith|2|F|2789545|player|active|https://cdn4.sportngin.com/attachments/roster_player_info/9158/3971/Whale_Jaime_Goldsmith_small.JPG||2018-03-19T07:13:42-07:00|https://www.nwhl.zone/roster_players/21022025|JamieGoldsmith
53|True|33542006|2017-09-27T07:40:03-07:00|Keira|21022050|91584568.0|{}||31|Goin|2|G|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9158/4568/Whale_Keira_Goin_small.JPG||2018-03-19T16:12:09-07:00|https://www.nwhl.zone/roster_players/21022050|KeiraGoin
54|True|33556050|2017-09-27T16:56:19-07:00|Grace|21030324|91584632.0|{}||94|Klienbach|2|F|2789545|player|active|https://cdn1.sportngin.com/attachments/roster_player_info/9158/4632/Whale_Grace_Klienbach_small.JPG||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/21030324|GraceKlienbach
55|True|33895363|2017-10-12T11:21:17-07:00|Sara |21265512|91584713.0|{}|||Ugalde|1||2789545|coach|active|https://cdn4.sportngin.com/attachments/roster_player_info/9158/4713/Whale_Sara_Ugalde_small.jpg|Assistant Coach|2017-10-16T06:58:07-07:00|https://www.nwhl.zone/roster_players/21265512|Sara Ugalde
56|True|33950819|2017-10-15T09:54:10-07:00|Denise|21304452|91584382.0|{}||23|Cardello|3|F|2789545|player|disabled|https://cdn1.sportngin.com/attachments/roster_player_info/9158/4382/Whale_Denise_Cardello_small.JPG||2018-01-30T09:00:31-08:00|https://www.nwhl.zone/roster_players/21304452|DeniseCardello
57|True|31584455|2017-11-08T11:12:06-08:00|Paige|21749851|93029708.0|{}||27|Savage|2|F|2789545|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9302/9708/Pride_Paige_Savage_002_small.jpg||2018-03-19T07:13:43-07:00|https://www.nwhl.zone/roster_players/21749851|PaigeSavage
58|True|35095859|2017-12-01T09:25:26-08:00|Hanna |22110246|96377792.0|{}||16|Beattie|2|D|2789545|player|active|https://cdn4.sportngin.com/attachments/roster_player_info/9637/7792/EditedinMCRStudio_D5I0540-3-2_small.JPG||2018-03-19T07:13:42-07:00|https://www.nwhl.zone/roster_players/22110246|Hanna Beattie
59|True|35979902|2018-01-23T08:19:41-08:00|Emma|22702727|98836389.0|{}||17|Greco |2|D|2789545|player|active|https://cdn2.sportngin.com/attachments/roster_player_info/9883/6389/EditedinMCRStudio_D5I5245-2-2_small.jpeg||2018-05-14T09:50:02-07:00|https://www.nwhl.zone/roster_players/22702727|EmmaGreco 
60|True|36811564|2018-02-27T06:14:31-08:00|Sam|23226859|99780386.0|{}||32|Donovan|2|F|2789545|player|active|https://cdn3.sportngin.com/attachments/roster_player_info/9978/0386/EditedinMCRStudio_D5I2894-2_small.jpg||2018-03-18T15:45:17-07:00|https://www.nwhl.zone/roster_players/23226859|SamDonovan
