"","x"
"1","14668259"
"2","14690190"
"3","14690359"
"4","14694328"
"5","14694401"
"6","14695854"
"7","14752032"
"8","14752514"
"9","14800529"
"10","14800630"
"11","14800650"
"12","14801353"
"13","14814740"
"14","14814946"
"15","14817367"
"16","14820870"
"17","14821029"
"18","14822377"
"19","14689699"
"20","14694271"
"21","14694525"
"22","14696016"
"23","14800131"
"24","14800573"
"25","14801480"
"26","14814782"
"27","14814888"
"28","14817684"
"29","14819462"
"30","14822366"
"31","14665102"
"32","14690511"
"33","14800458"
"34","14800688"
"35","14800863"
"36","14822707"
