"","x"
"1","15083513"
"2","14689392"
"3","14689401"
"4","14689494"
"5","14689501"
"6","14689506"
"7","14689513"
"8","14689517"
"9","14689574"
"10","14689561"
"11","14689578"
"12","14689601"
"13","14689606"
"14","14689618"
"15","14689624"
"16","14689629"
"17","14689652"
"18","14689396"
"19","14689497"
"20","14689498"
"21","14690502"
"22","14689511"
"23","14689520"
"24","14689545"
"25","14689549"
"26","14689582"
"27","14689598"
"28","14689622"
"29","14689649"
"30","14689491"
"31","14689509"
"32","14689528"
"33","14689534"
"34","14689584"
"35","14689610"
